iter	RMSE
119	0.5983600591
120	0.5975144611
121	0.5967212205
122	0.5960898695
123	0.5954366107
124	0.5945677309
125	0.5939130584
126	0.593317826
127	0.5925961284
128	0.5915884483
129	0.5908187156
130	0.5901108107
131	0.5894897273
132	0.5885824476
133	0.5879041058
134	0.5871242702
135	0.5858737003
136	0.5853805041
137	0.5850197969
138	0.5842165019
139	0.5833980095
140	0.5824579851
141	0.5816687353
142	0.5811617536
143	0.5806111558
144	0.5802031459
145	0.5795420482
146	0.5788788756
147	0.578251746
148	0.5776680831
149	0.5772319891
150	0.5764201921
151	0.5754741128
152	0.574641896
153	0.5741581145
154	0.5733945975
155	0.5729902642
156	0.5725321736
157	0.5721102918
158	0.5715634293
159	0.5709647077
160	0.5698767608
161	0.5692666398
162	0.5687568728
163	0.5684338654
164	0.5680413935
165	0.5677296317
166	0.5673166807
167	0.5664457905
168	0.5656579451
169	0.5649877264
170	0.5645007213
171	0.5638196568
172	0.5629993917
173	0.562406306
174	0.5614591382
175	0.5607660969
176	0.5603609459
177	0.5600424719
178	0.5596373214
179	0.5589132775
180	0.5581699933
181	0.5577619141
182	0.5571508847
183	0.5565482389
184	0.5559720049
185	0.5556251109
186	0.5550997456
187	0.55460837
188	0.5538099337
189	0.5533335097
190	0.5527936822
191	0.5520977811
192	0.5517746321
193	0.5513390037
194	0.5508250457
195	0.5504225569
196	0.5499225401
197	0.5493426222
198	0.5488989457
199	0.5485960142
200	0.5482370174
201	0.5477416986
202	0.5473394249
203	0.5469908393
204	0.5466640916
205	0.5464023985
206	0.5459214426
207	0.5450326545
208	0.5445711335
209	0.5442916701
210	0.543849232
211	0.5435076577
212	0.5429929303
213	0.5423960746
214	0.542072991
215	0.5416077726
216	0.5410225572
217	0.540467751
218	0.5401085415
219	0.5398223566
220	0.5394103967
221	0.5390636965
222	0.5382812941
223	0.5375980809
224	0.5374247247
225	0.5369380444
226	0.5367100243
227	0.5364383508
228	0.5361390406
229	0.5357116592
230	0.5353071246
231	0.534610055
232	0.5340299751
233	0.5337087003
234	0.5332184994
235	0.5329356009
236	0.5326206561
237	0.5323845094
238	0.5319006002
239	0.5315333494
240	0.5312592999
241	0.5306031046
242	0.5303459321
243	0.5299867166
244	0.5296441662
245	0.5293912057
246	0.5288423855
247	0.5284009083
248	0.5279974384
249	0.5277341486
250	0.5272905667
251	0.5270477017
252	0.5268263472
253	0.5261945245
254	0.5259302252
255	0.5255679366
256	0.5250687798
257	0.5249067257
258	0.5246384834
259	0.5242548047
260	0.523965398
261	0.5235126255
262	0.5233097808
263	0.5230658248
264	0.5226407092
265	0.5223552702
266	0.5220913495
267	0.5218968062
268	0.5213329979
269	0.5209473253
270	0.5204469076
271	0.5200374189
272	0.5197775379
273	0.5194430282
274	0.5191675297
275	0.5188585737
276	0.5184109968
277	0.5181229121
278	0.5179469749
279	0.5174625853
280	0.5172341481
281	0.5169973083
282	0.5168850591
283	0.5167233406
284	0.5163762858
285	0.5158722638
286	0.5156092563
287	0.515256205
288	0.5149326969
289	0.5145417692
290	0.5142954427
291	0.5140559709
292	0.5136668042
293	0.5133548049
294	0.5131486778
295	0.5128739046
296	0.5126549604
297	0.5124388413
298	0.5119355423
299	0.5117287957
300	0.5115152546
301	0.5112543062
302	0.5111382983
303	0.5110349726
304	0.5106697141
305	0.5100742435
306	0.5099459748
307	0.5098070427
308	0.5096505012
309	0.5091005346
310	0.5087939557
311	0.5086775272
312	0.5083985454
313	0.508233866
314	0.507727772
315	0.5075023061
316	0.5071137289
317	0.5068378196
318	0.5066273555
319	0.5064361942
320	0.5059881492
321	0.5055431025
322	0.505411562
323	0.5052546427
324	0.5049921862
325	0.504766447
326	0.5044300017
327	0.5039936177
328	0.5039366818
329	0.5037434431
330	0.5034820421
331	0.5032431231
332	0.503003462
333	0.5027927354
334	0.5024641419
335	0.5020427638
336	0.5017769006
337	0.5014769326
338	0.5012317106
339	0.5008324684
340	0.5004409433
341	0.5002676029
342	0.5000988885
343	0.4998458961
344	0.4997525215
345	0.4993953199
346	0.4992035986
347	0.4991537246
348	0.4989252929
349	0.4985763074
350	0.4983308278
351	0.498090636
352	0.4979332721
353	0.4975229552
354	0.4973890567
355	0.4972224458
356	0.4969244829
357	0.4963853581
358	0.496006906
359	0.4958238126
360	0.4955554921
361	0.495355339
362	0.4950934013
363	0.4949127916
364	0.4946340647
365	0.4944511415
366	0.4942014553
367	0.494067212
368	0.4937610164
369	0.4934354572
370	0.4932894588
371	0.4930333044
372	0.492762446
373	0.4925667801
374	0.4921992455
375	0.4917923592
376	0.4914101453
377	0.4910994533
378	0.4907117527
379	0.490341944
380	0.4901924746
381	0.4898117622
382	0.489511352
383	0.4890934989
384	0.4889197177
385	0.4885480786
386	0.4881891045
387	0.487963715
388	0.4877308639
389	0.4873654202
390	0.4873101195
391	0.487146196
392	0.4868883539
393	0.4866444475
394	0.486392924
395	0.4860512489
396	0.4857183554
397	0.4854449488
398	0.4852315894
399	0.4850507258
400	0.4848060373
401	0.4846348275
402	0.4844403188
403	0.4841078333
404	0.483795599
405	0.4835735818
406	0.4834244036
407	0.483278766
408	0.4829817833
409	0.4826059488
410	0.4822864121
411	0.4818777301
412	0.4817327748
413	0.4814414062
414	0.4810737406
415	0.4807387518
416	0.4803769042
417	0.480127466
418	0.4800845999
419	0.479908825
420	0.4796331398
421	0.4793756236
422	0.4791068502
423	0.4788270091
424	0.4787193617
425	0.4786279936
426	0.4785352383
427	0.4782079431
428	0.4779828354
429	0.4776515181
430	0.4774627231
431	0.4773049565
432	0.4771382167
433	0.476786304
434	0.4765509074
435	0.4764141393
436	0.4761811094
437	0.4759360404
438	0.475636614
439	0.4753188613
440	0.4751179414
441	0.474914192
442	0.4746738955
443	0.474358929
444	0.4741587467
445	0.4739527631
446	0.4736605699
447	0.4734359638
448	0.4732035222
449	0.4731016105
450	0.4727909191
451	0.4727034327
452	0.4723724628
453	0.4720663603
454	0.4719516607
455	0.4716805335
456	0.4715206891
457	0.4713092604
458	0.4711163076
459	0.4709760877
460	0.47064829
461	0.470478342
462	0.4702709407
463	0.4700744571
464	0.4699297633
465	0.4698009939
466	0.4696810342
467	0.4694169963
468	0.4692294008
469	0.4691906971
470	0.4691103161
471	0.4689859845
472	0.4687665354
473	0.4685032752
474	0.4683797905
475	0.4680658764
476	0.4679534519
477	0.4678209313
478	0.4676040671
479	0.4673948101
480	0.4671241659
481	0.4669127427
482	0.4665687112
483	0.4664107368
484	0.4662409947
485	0.4659720478
486	0.4658090602
487	0.465653925
488	0.465414498
489	0.465246598
490	0.4650800463
491	0.464879322
492	0.4646364455
493	0.4645038885
494	0.4642957211
495	0.4639650825
496	0.4636211169
497	0.4634292482
498	0.4631469132
499	0.4629694855
500	0.4628686097
501	0.4626062438
502	0.4625323927
503	0.4622837179
504	0.4621219235
505	0.4619441685
506	0.46171433
507	0.4616070094
508	0.4613745696
509	0.4611783113
510	0.460974321
511	0.460838224
512	0.4605533175
513	0.4603083986
514	0.4602380746
515	0.4601049148
516	0.4598088717
517	0.4595984203
518	0.4593139612
519	0.4590281083
520	0.458740486
521	0.4584894138
522	0.458215413
523	0.4580792255
524	0.4578800883
525	0.4578449279
526	0.4577230043
527	0.4573307042
528	0.4572032702
529	0.4569060414
530	0.4567033314
531	0.4566290644
532	0.4565400702
533	0.4563285911
534	0.4560845163
535	0.4558995239
536	0.4558164941
537	0.4556999922
538	0.4555122125
539	0.455319542
540	0.4551497699
541	0.4549728561
542	0.4547543557
543	0.4545900053
544	0.4544465192
545	0.4542321917
546	0.454073041
547	0.4538992362
548	0.453754638
549	0.4535983661
550	0.4533627633
551	0.4531525399
552	0.4529937522
553	0.452791486
554	0.452592577
555	0.4524188451
556	0.4522641371
557	0.452055328
558	0.4518587455
559	0.4517836713
560	0.4517186253
561	0.4514757765
562	0.4512289612
563	0.4510880583
564	0.4508692465
565	0.4507476635
566	0.4506162116
567	0.4503490425
568	0.4501721753
569	0.4499891596
570	0.4498323048
571	0.44964949
572	0.4494936818
573	0.4494324081
574	0.449319074
575	0.4491311432
576	0.4489044158
577	0.4486378698
578	0.4485066441
579	0.4483087492
580	0.4481128332
581	0.4479003898
582	0.4476757756
583	0.4475118154
584	0.4474148231
585	0.4471811681
586	0.4471039614
587	0.446937864
588	0.4467892088
589	0.4466296833
590	0.4465304405
591	0.4464144034
592	0.446252864
593	0.4461221625
594	0.4459418284
595	0.4456958042
596	0.4456126723
597	0.4454505166
598	0.445352863
599	0.4452464745
600	0.4449729288
601	0.4449071693
602	0.4448554671
603	0.444720002
604	0.4446440718
605	0.4444968072
606	0.4443727398
607	0.4440787712
608	0.4438853584
609	0.4437123242
610	0.4435474963
611	0.4432885821
612	0.4428870913
613	0.4427829228
614	0.4426792873
615	0.4424557124
616	0.4422880351
617	0.442018226
618	0.441959318
619	0.4417493819
620	0.4416453681
621	0.4414678585
622	0.4412486651
623	0.4411205977
624	0.4410493502
625	0.4409198857
626	0.440738046
627	0.4405144626
628	0.4403755201
629	0.4402854332
630	0.4401786007
631	0.4399137169
632	0.4397261323
633	0.4394738411
634	0.4391467097
635	0.4390312536
636	0.4387940678
637	0.4387401889
638	0.4386704926
639	0.4384949761
640	0.4383617287
641	0.4382486638
642	0.4381341857
643	0.4379811865
644	0.437864056
645	0.4377623858
646	0.4377071124
647	0.4374966588
648	0.437226483
649	0.4371242972
650	0.4369220245
651	0.4366846308
652	0.4364993048
653	0.4363076988
654	0.4360731171
655	0.4359118278
656	0.4356709257
657	0.435528665
658	0.4352958481
659	0.4352425176
660	0.435044708
661	0.4348009964
662	0.4346009052
663	0.4344375404
664	0.4343020741
665	0.4341308111
666	0.4339667654
667	0.4338685364
668	0.4338382931
669	0.4337729475
670	0.4337359728
671	0.4335425661
672	0.4334311768
673	0.4332718675
674	0.4331238127
675	0.4330478777
676	0.4329096825
677	0.4326966722
678	0.4325218009
679	0.4323217714
680	0.432146287
681	0.432007289
682	0.4318154395
683	0.4316681887
684	0.4314115082
685	0.4313523169
686	0.4311065565
687	0.4309030006
688	0.4308786852
689	0.4306932622
690	0.4306338047
691	0.4305494942
692	0.430403937
693	0.4302728843
694	0.4302480255
695	0.4302243427
696	0.43013792
697	0.4300203471
698	0.42993331
699	0.4297453832
700	0.4296437958
701	0.4294428502
702	0.4293698605
703	0.4292533027
704	0.4290885851
705	0.4289161839
706	0.4287763333
707	0.4285444842
708	0.4283064826
709	0.428084887
710	0.4279282441
711	0.4277456399
712	0.4275290079
713	0.427295919
714	0.4272244916
715	0.4271398621
716	0.4270105109
717	0.426894944
718	0.4266492408
719	0.4264821556
720	0.4263697972
721	0.4261403054
722	0.426031905
723	0.4258710663
724	0.4257512147
725	0.4256174306
726	0.4254906118
727	0.4252780172
728	0.4252115643
729	0.4250156433
730	0.4248492151
731	0.4247448818
732	0.4245551969
733	0.4244354139
734	0.4242575985
735	0.4240464488
736	0.4238900195
737	0.4237875411
738	0.4235605409
739	0.4233469859
740	0.4232295892
741	0.4231459863
742	0.422938895
743	0.4228291432
744	0.4226423612
745	0.4225324175
746	0.4224458137
747	0.4222132926
748	0.4220627825
749	0.4218583378
750	0.4217116185
751	0.4216486518
752	0.4215879689
753	0.4214135765
754	0.4213679399
755	0.4211609934
756	0.4209807065
757	0.4207681754
758	0.4205919334
759	0.4204002835
760	0.4201646773
761	0.4199974586
762	0.4198493185
763	0.4197854732
764	0.4196947667
765	0.4195044338
766	0.4192112037
767	0.4188997975
768	0.4187681122
769	0.4186995681
770	0.4185478423
771	0.4183477475
772	0.4181958356
773	0.4181249454
774	0.4180352985
775	0.4178656095
776	0.4177989461
777	0.4177328736
778	0.4175499229
779	0.4174761609
780	0.4173213195
781	0.4172737498
782	0.4171018287
783	0.4169238305
784	0.4168656187
785	0.4167043576
786	0.4165867798
787	0.4165085451
788	0.416320572
789	0.4162456171
790	0.4160727485
791	0.4159220935
792	0.4157564378
793	0.4156058172
794	0.4154864613
795	0.4153640525
796	0.4151681037
797	0.4150532768
798	0.4149667253
799	0.4148305818
800	0.4146999204
801	0.41454639
802	0.4144150823
803	0.4143153962
804	0.4141901733
805	0.4140963358
806	0.4139275574
807	0.4137885185
808	0.4136681014
809	0.413535872
810	0.4134876876
811	0.4134235287
812	0.4132981778
813	0.4131554479
814	0.4130600977
815	0.4129291011
816	0.4126723919
817	0.4125236479
818	0.4124307221
819	0.4123792397
820	0.4121711271
821	0.4119776617
822	0.4119022338
823	0.4117119424
824	0.4116750538
825	0.4115297966
826	0.4113792389
827	0.4113130089
828	0.4112233129
829	0.4110515667
830	0.4109245965
831	0.4108019216
832	0.4106569473
833	0.410579283
834	0.4104668101
835	0.4104149272
836	0.4101981673
837	0.4100205568
838	0.4098763258
839	0.4098404135
840	0.4096777102
841	0.4095809933
842	0.4094636032
843	0.4092804312
844	0.4092384525
845	0.4091476201
846	0.4089518718
847	0.4087827592
848	0.4086289588
849	0.4085789731
850	0.4084267208
851	0.4083517809
852	0.4082647697
853	0.4081640538
854	0.4080153585
855	0.4078315912
856	0.4078026435
857	0.4076900865
858	0.4075841094
859	0.4073736261
860	0.4072232477
861	0.4070983882
862	0.4069217333
863	0.4067785227
864	0.4066130238
865	0.406458568
866	0.4063526868
867	0.4061765169
868	0.4060656064
869	0.4058313766
870	0.405673209
871	0.4055493851
872	0.4054418635
873	0.4052430085
874	0.4050930282
875	0.4049458508
876	0.4048657707
877	0.4048243224
878	0.4046612861
879	0.4045782588
880	0.4045158835
881	0.4044005529
882	0.4042699161
883	0.4041206015
884	0.4040434623
885	0.4040003743
886	0.4038644821
887	0.4038137658
888	0.403454785
889	0.4033287066
890	0.4031717699
891	0.4029934045
892	0.402890608
893	0.4027368397
894	0.4026888094
895	0.4025598367
896	0.4024050071
897	0.4022884509
898	0.4022215427
899	0.4021440236
900	0.402035833
901	0.4018273274
902	0.4017683204
903	0.4016093931
904	0.4015736112
905	0.4014111171
906	0.4012504796
907	0.4011121408
908	0.4009555091
909	0.40079978
910	0.4006199887
911	0.4004488456
912	0.400324265
913	0.4002004748
914	0.4000613807
915	0.3999215609
916	0.3997643445
917	0.3996805784
918	0.3995323322
919	0.3993644317
920	0.3992335182
921	0.3991678591
922	0.3991056868
923	0.3989298449
924	0.3988233036
925	0.3986799874
926	0.3986084097
927	0.3984109372
928	0.3983123365
929	0.3982191086
930	0.3981484298
931	0.3980849405
932	0.3979127405
933	0.397785345
934	0.3976563872
935	0.3975711391
936	0.3974801408
937	0.3973309306
938	0.3971553245
939	0.3970660972
940	0.396993443
941	0.3968247111
942	0.3967858039
943	0.3966433964
944	0.396518039
945	0.3963942549
946	0.3962831726
947	0.3961370704
948	0.3960910319
949	0.3960159611
950	0.395859865
951	0.3957261664
952	0.3955628239
953	0.395536013
954	0.3954198157
955	0.3953150029
956	0.3951695613
957	0.3950870249
958	0.3949929073
959	0.3948812847
960	0.3947119548
961	0.3946223389
962	0.3945717161
963	0.3945077339
964	0.394362077
965	0.3942515299
966	0.39411013
967	0.3940684864
968	0.3939826761
969	0.3938430806
970	0.3937570222
971	0.39366029
972	0.3935860222
973	0.3935351292
974	0.3934041944
975	0.3933128621
976	0.3931174415
977	0.3930281509
978	0.3929278151
979	0.3928306691
980	0.3927639092
981	0.3926296271
982	0.3924435705
983	0.3923016715
984	0.3921371808
985	0.3920967818
986	0.3920154123
987	0.391903735
988	0.3917797764
989	0.3916608093
990	0.3915070618
991	0.3913112178
992	0.3911070918
993	0.3910478057
994	0.3909792093
995	0.3908521614
996	0.3907108083
997	0.3906585381
998	0.3904813697
999	0.390414622
