iter	Passed	Remaining
416	3964	5543
417	3989	5554
418	4011	5561
419	4034	5572
420	4057	5579
421	4080	5589
422	4104	5598
423	4130	5611
424	4152	5618
425	4178	5629
426	4199	5635
427	4223	5644
428	4246	5652
429	4269	5659
430	4319	5702
431	4346	5714
432	4376	5731
433	4407	5748
434	4436	5762
435	4461	5771
436	4488	5782
437	4519	5798
438	4552	5817
439	4583	5833
440	4610	5844
441	4640	5858
442	4669	5870
443	4697	5882
444	4729	5898
445	4756	5908
446	4784	5918
447	4810	5926
448	4836	5935
449	4862	5942
450	4887	5949
451	4912	5956
452	4942	5967
453	4972	5980
454	4997	5986
455	5024	5994
456	5049	6000
457	5075	6006
458	5103	6015
459	5130	6023
460	5155	6028
461	5177	6029
462	5199	6030
463	5221	6032
464	5242	6031
465	5263	6031
466	5285	6032
467	5306	6032
468	5329	6033
469	5353	6037
470	5375	6037
471	5400	6041
472	5426	6045
473	5450	6048
474	5473	6049
475	5498	6053
476	5522	6055
477	5546	6057
478	5568	6056
479	5592	6058
480	5615	6058
481	5638	6060
482	5662	6061
483	5684	6060
484	5706	6059
485	5731	6061
486	5753	6060
487	5776	6060
488	5798	6059
489	5820	6057
490	5842	6056
491	5866	6057
492	5893	6061
493	5918	6062
494	5940	6060
495	5962	6059
496	5984	6057
497	6006	6054
498	6029	6053
499	6054	6054
500	6077	6053
501	6104	6055
502	6125	6052
503	6149	6051
504	6174	6051
505	6195	6048
506	6218	6046
507	6239	6042
508	6261	6040
509	6286	6039
510	6311	6040
511	6333	6036
512	6355	6032
513	6376	6029
514	6397	6024
515	6418	6020
516	6442	6018
517	6467	6018
518	6491	6015
519	6512	6011
520	6533	6006
521	6557	6004
522	6579	6001
523	6601	5997
524	6624	5993
525	6646	5989
526	6667	5984
527	6689	5979
528	6710	5974
529	6730	5968
530	6751	5963
531	6773	5958
532	6794	5952
533	6817	5949
534	6841	5946
535	6863	5941
536	6883	5935
537	6903	5928
538	6925	5923
539	6948	5918
540	6972	5915
541	6995	5911
542	7018	5906
543	7039	5900
544	7061	5895
545	7084	5890
546	7107	5885
547	7130	5881
548	7152	5875
549	7174	5869
550	7201	5868
551	7225	5863
552	7248	5858
553	7271	5853
554	7294	5848
555	7310	5837
556	7319	5821
557	7327	5804
558	7334	5786
559	7341	5768
560	7347	5749
561	7355	5732
562	7364	5716
563	7372	5699
564	7379	5681
565	7386	5663
566	7393	5646
567	7399	5628
568	7406	5610
569	7413	5592
570	7420	5575
571	7427	5557
572	7434	5540
573	7441	5522
574	7447	5504
575	7454	5487
576	7461	5469
577	7469	5453
578	7476	5436
579	7484	5420
580	7492	5403
581	7500	5387
582	7508	5370
583	7516	5354
584	7523	5336
585	7531	5320
586	7539	5304
587	7548	5289
588	7556	5273
589	7565	5257
590	7572	5240
591	7581	5224
592	7589	5209
593	7597	5192
594	7604	5176
595	7613	5160
596	7620	5144
597	7628	5128
598	7637	5112
599	7645	5096
600	7654	5081
601	7661	5065
602	7669	5049
603	7676	5032
604	7684	5016
605	7692	5001
606	7701	4986
607	7710	4971
608	7719	4955
609	7726	4939
610	7733	4923
611	7741	4908
612	7750	4892
613	7757	4877
614	7766	4862
615	7775	4847
616	7782	4831
617	7790	4815
618	7797	4799
619	7804	4783
620	7811	4767
621	7818	4751
622	7825	4735
623	7833	4720
624	7840	4704
625	7846	4688
626	7854	4672
627	7862	4657
628	7869	4641
629	7877	4626
630	7885	4611
631	7893	4595
632	7900	4580
633	7908	4565
634	7916	4550
635	7923	4534
636	7930	4519
637	7937	4503
638	7944	4488
639	7951	4472
640	7959	4457
641	7967	4442
642	7974	4427
643	7981	4412
644	7988	4396
645	7995	4381
646	8002	4365
647	8009	4350
648	8017	4336
649	8024	4320
650	8032	4305
651	8045	4294
652	8052	4279
653	8062	4265
654	8071	4251
655	8079	4236
656	8088	4222
657	8096	4208
658	8105	4194
659	8113	4179
660	8122	4165
661	8132	4152
662	8142	4138
663	8150	4124
664	8160	4111
665	8169	4097
666	8179	4083
667	8189	4070
668	8198	4056
669	8208	4042
670	8216	4028
671	8226	4015
672	8236	4001
673	8246	3988
674	8255	3974
675	8263	3960
676	8273	3947
677	8282	3933
678	8306	3926
679	8316	3913
680	8326	3900
681	8335	3886
682	8345	3873
